N,lambda,R,min_P2,rho_at_min,P2_negative,n_valid
2,0.001,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,0.001,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,545.5594781168514,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,784.7599703514607,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,1128.8378916846884,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,1623.776739188721,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,2335.7214690901214,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,3359.818286283781,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,4832.930238571752,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,6951.927961775606,0.00032730462833322453,0.4977386934673367,False,200
2,0.0018329807108324356,10000.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.003359818286283781,10.0,0.00032730462833322453,0.4977386934673367,False,200
2,0.003359818286283781,14.38449888287663,0.00032730462833322453,0.4977386934673367,False,200
2,0.003359818286283781,20.6913808111479,0.00032730462833322453,0.4977386934673367,False,200
2,0.003359818286283781,29.76351441631318,0.00032730462833322453,0.4977386934673367,False,200
2,0.003359818286283781,42.81332398719393,0.00032730462833322453,0.4977386934673367,False,200
2,0.003359818286283781,61.58482110660264,0.00032730462833322453,0.4977386934673367,False,200
2,0.003359818286283781,88.58667904100822,0.00032730462833322453,0.4977386934673367,False,200
2,0.003359818286283781,127.42749857031335,0.00032730462833322453,0.4977386934673367,False,200
2,0.003359818286283781,183.29807108324357,0.00032730462833322453,0.4977386934673367,False,200
2,0.003359818286283781,263.6650898730358,0.00032730462833322453,0.4977386934673367,False,200
2,0.003359818286283781,379.26901907322497,0.00032730462833322453,0.4977386934673367,False,200
